customer_id,signup_date,tenure_months,age,region,plan_tier,monthly_fee_cad,num_products,avg_monthly_balance_cad,balance_trend,monthly_txn_count,app_logins_monthly,days_since_last_login,support_contacts_6mo,has_external_bank_link,referral_source,churned
CUST00001,2020-02-23,52,31,British Columbia,Premium,19.99,4,17205.33,stable,24,21,4,1,1,App Store,0
CUST00002,2023-06-07,12,26,Ontario,Free,0.0,2,375.18,growing,11,4,26,1,1,Paid Ad,0
CUST00003,2023-12-04,6,36,Ontario,Free,0.0,2,4068.76,stable,13,3,5,1,0,Paid Ad,0
CUST00004,2021-10-15,32,27,Ontario,Standard,9.99,3,912.97,growing,15,9,3,1,1,Social Media,0
CUST00005,2019-01-29,65,35,British Columbia,Free,0.0,1,224.53,declining,8,2,0,1,0,Social Media,0
CUST00006,2024-05-02,1,41,British Columbia,Standard,9.99,3,2190.29,growing,24,8,20,1,1,Social Media,1
CUST00007,2021-12-14,30,28,Alberta,Premium,19.99,2,6981.16,stable,29,30,10,1,1,App Store,0
CUST00008,2021-04-18,38,36,Quebec,Premium,19.99,2,13830.12,stable,28,22,1,3,0,Organic,0
CUST00009,2019-10-26,56,34,Ontario,Free,0.0,1,526.06,stable,11,2,3,1,1,Social Media,1
CUST00010,2021-10-15,32,46,Quebec,Free,0.0,1,1718.86,growing,8,9,99,1,1,Organic,0
CUST00011,2023-02-07,16,27,British Columbia,Premium,19.99,4,1464.35,stable,24,23,24,1,1,Friend Referral,0
CUST00012,2018-10-01,69,36,Quebec,Premium,19.99,3,748.65,declining,33,20,6,0,0,Friend Referral,0
CUST00013,2021-08-16,34,19,British Columbia,Standard,9.99,1,2925.9,declining,22,9,11,2,1,Social Media,0
CUST00014,2024-05-02,1,27,Ontario,Standard,9.99,3,459.51,stable,10,10,8,0,1,Friend Referral,0
CUST00015,2022-07-12,23,33,Quebec,Free,0.0,2,584.37,stable,9,6,0,0,1,Social Media,1
CUST00016,2023-11-04,7,40,British Columbia,Premium,19.99,2,2847.74,growing,38,28,22,2,1,Social Media,0
CUST00017,2023-06-07,12,22,Other,Standard,9.99,2,377.14,growing,19,14,18,3,1,Paid Ad,0
CUST00018,2019-04-29,62,36,Ontario,Free,0.0,2,316.33,declining,4,4,7,1,1,Friend Referral,1
CUST00019,2024-02-02,4,30,Quebec,Free,0.0,1,173.9,declining,7,6,28,1,0,Social Media,1
CUST00020,2021-08-16,34,20,British Columbia,Premium,19.99,3,10726.86,stable,26,19,11,2,1,Paid Ad,0
CUST00021,2021-04-18,38,32,Ontario,Free,0.0,1,346.81,stable,9,3,1,2,1,Social Media,1
CUST00022,2018-09-01,70,42,Alberta,Free,0.0,1,87.54,stable,6,3,4,0,1,Friend Referral,0
CUST00023,2022-02-12,28,23,Alberta,Standard,9.99,2,1709.33,growing,10,11,9,0,0,Friend Referral,0
CUST00024,2023-03-09,15,30,Quebec,Free,0.0,1,195.77,stable,7,3,1,3,0,Social Media,1
CUST00025,2022-06-12,24,24,Ontario,Free,0.0,1,442.31,declining,7,7,12,1,0,Friend Referral,1
CUST00026,2019-01-29,65,27,Ontario,Premium,19.99,3,93.61,stable,33,16,1,1,1,Social Media,0
CUST00027,2021-11-14,31,41,Ontario,Premium,19.99,4,6449.55,stable,37,29,3,1,0,Social Media,0
CUST00028,2020-02-23,52,29,Ontario,Premium,19.99,4,2152.16,growing,26,23,33,1,0,Social Media,0
CUST00029,2018-10-01,69,40,Quebec,Premium,19.99,2,1879.46,growing,36,17,120,0,1,Friend Referral,0
CUST00030,2024-03-03,3,38,British Columbia,Standard,9.99,1,654.14,stable,23,10,11,2,0,Friend Referral,0
CUST00031,2022-12-09,18,28,Quebec,Premium,19.99,4,2865.72,declining,28,26,14,2,1,Friend Referral,0
CUST00032,2018-09-01,70,27,British Columbia,Standard,9.99,2,1608.17,declining,19,14,23,0,1,App Store,0
CUST00033,2018-11-30,67,24,British Columbia,Standard,9.99,1,485.34,declining,21,22,17,0,1,Organic,0
CUST00034,2022-09-10,21,24,British Columbia,Premium,19.99,4,4758.24,stable,34,16,3,4,0,Organic,0
CUST00035,2019-08-27,58,33,Ontario,Free,0.0,2,1745.95,stable,7,5,7,0,0,Social Media,1
CUST00036,2022-02-12,28,30,British Columbia,Standard,9.99,3,3236.43,declining,16,9,11,0,0,Paid Ad,0
CUST00037,2023-02-07,16,26,Ontario,Standard,9.99,2,2758.85,stable,21,14,6,2,1,App Store,0
CUST00038,2024-05-02,1,20,Alberta,Free,0.0,1,33.36,declining,10,1,2,0,0,Paid Ad,1
CUST00039,2023-12-04,6,31,Alberta,Free,0.0,1,430.97,declining,8,6,19,3,0,Social Media,1
CUST00040,2023-02-07,16,27,Quebec,Premium,19.99,3,6602.99,stable,27,20,3,1,1,Friend Referral,0
CUST00041,2023-10-05,8,29,British Columbia,Premium,19.99,2,1568.15,stable,31,24,4,0,0,Friend Referral,1
CUST00042,2024-03-03,3,33,British Columbia,Standard,9.99,2,3964.04,stable,13,19,5,0,1,Friend Referral,0
CUST00043,2022-02-12,28,18,British Columbia,Free,0.0,2,228.64,growing,10,6,2,0,1,Friend Referral,0
CUST00044,2021-10-15,32,20,Ontario,Free,0.0,2,190.63,stable,9,4,28,2,0,Social Media,1
CUST00045,2019-03-30,63,47,Ontario,Premium,19.99,4,2763.21,declining,38,19,14,2,1,Friend Referral,0
CUST00046,2023-12-04,6,27,Other,Standard,9.99,3,1059.52,declining,19,15,27,1,1,App Store,1
CUST00047,2021-02-17,40,18,Ontario,Free,0.0,2,220.31,growing,8,3,10,0,0,Social Media,0
CUST00048,2021-07-17,35,20,British Columbia,Standard,9.99,3,841.76,stable,16,15,10,3,0,Paid Ad,1
CUST00049,2022-11-09,19,48,Alberta,Free,0.0,2,951.16,stable,8,4,14,3,1,Friend Referral,1
CUST00050,2022-09-10,21,26,British Columbia,Standard,9.99,1,4821.94,stable,8,11,6,3,0,Friend Referral,0
CUST00051,2019-05-29,61,39,Quebec,Premium,19.99,3,11034.73,stable,23,20,10,1,1,Friend Referral,0
CUST00052,2023-06-07,12,31,Alberta,Standard,9.99,2,1734.15,stable,21,17,11,0,1,Friend Referral,0
CUST00053,2020-06-22,48,27,British Columbia,Standard,9.99,3,924.35,stable,14,13,46,1,0,Social Media,1
CUST00054,2024-05-02,1,36,Quebec,Standard,9.99,2,37.02,growing,13,15,32,1,1,Friend Referral,0
CUST00055,2021-06-17,36,18,Ontario,Standard,9.99,2,273.07,stable,25,9,2,1,0,Organic,0
CUST00056,2021-09-15,33,20,Quebec,Standard,9.99,3,2806.73,stable,16,8,0,2,0,Paid Ad,1
CUST00057,2022-06-12,24,27,Ontario,Free,0.0,2,716.22,growing,8,3,17,1,1,Organic,0
CUST00058,2021-02-17,40,21,Ontario,Standard,9.99,2,324.66,stable,20,9,0,2,0,Social Media,0
CUST00059,2024-02-02,4,26,Quebec,Free,0.0,1,1093.4,stable,10,6,0,2,1,Paid Ad,0
CUST00060,2023-08-06,10,36,British Columbia,Premium,19.99,4,4343.69,declining,38,25,2,0,1,Organic,0
CUST00061,2020-05-23,49,31,Alberta,Standard,9.99,1,914.99,stable,17,10,6,2,0,Organic,0
CUST00062,2023-01-08,17,40,Ontario,Premium,19.99,3,1718.54,stable,23,25,8,0,0,App Store,1
CUST00063,2018-10-31,68,32,Quebec,Free,0.0,2,237.63,stable,11,2,10,0,0,Social Media,0
CUST00064,2021-10-15,32,37,Ontario,Standard,9.99,2,1567.11,growing,19,11,72,2,1,Organic,0
CUST00065,2023-10-05,8,30,Other,Standard,9.99,1,41.38,stable,20,14,7,0,0,Social Media,0
CUST00066,2019-07-28,59,26,British Columbia,Standard,9.99,2,1475.77,declining,21,14,4,1,0,App Store,1
CUST00067,2022-04-13,26,41,Ontario,Free,0.0,1,271.58,stable,11,3,12,0,1,Social Media,1
CUST00068,2023-07-07,11,26,Alberta,Standard,9.99,2,533.94,stable,17,7,3,1,1,Friend Referral,0
CUST00069,2023-02-07,16,33,Other,Standard,9.99,3,1729.95,growing,15,10,42,5,0,Social Media,0
